Date,Open,High,Low,Close,Adj Close,Volume
1/1/2008,52.299999,53,46.25,47.799999,30.148762,58343000
2/1/2008,48.18,52.720001,47.950001,50.720001,31.99049,53596200
3/1/2008,50.75,52.73,48.900002,52.560001,33.351784,47506900
4/1/2008,52.779999,54.150002,50.939999,51.169998,32.469761,46803300
5/1/2008,50.700001,52.869999,50.16,51.810001,32.875881,36299600
6/1/2008,51.759998,52.23,47.810001,48.02,30.658031,55998100
7/1/2008,47.619999,54.25,47.619999,53.060001,33.875778,54840800
8/1/2008,53.150002,55.84,51.950001,54.439999,34.75684,41049100
9/1/2008,54.830002,58.509998,54,56.099998,36.04224,47737200
10/1/2008,55.759998,57.66,45.25,50.419998,32.393047,91382100
11/1/2008,50.630001,53.389999,40.509998,43.43,27.90222,56932900
12/1/2008,42.77,44.080002,40.32,43.849998,28.172041,57072200
1/1/2009,43.98,45.939999,41.959999,43.689999,28.290735,48064500
2/1/2009,43.029999,45.099998,38,38.919998,25.202007,57726800
3/1/2009,38.330002,38.77,35.639999,36.630001,23.929321,71831600
4/1/2009,36.290001,43.91,36.290001,42.110001,27.509253,55279400
5/1/2009,42.18,44.91,42.18,43.25,28.253994,43552600
6/1/2009,43.630001,46.91,43.169998,46.57,30.664007,49052500
7/1/2009,46.91,49.220001,46.470001,47.5,31.276386,51941000
8/1/2009,47.799999,47.799999,45.580002,47.09,31.006413,42965000
9/1/2009,46.91,49.900002,46.419998,49.23,32.67643,37806700
10/1/2009,49.099998,52.580002,48.150002,51.540001,34.209709,41736800
11/1/2009,51.529999,54.049999,50.82,52.580002,34.900005,35678800
12/1/2009,52.700001,54.099998,51.549999,53.200001,35.563293,35576800
1/1/2010,53.310001,55.450001,52.549999,54.419998,36.378841,43112100
2/1/2010,54.790001,55.41,51.700001,52.150002,34.861389,51563800
3/1/2010,52.310001,54.799999,52.049999,53.43,35.974941,50549000
4/1/2010,53.529999,55.450001,52.029999,54.939999,36.991627,56974000
5/1/2010,55.130001,56,52.400002,53.43,35.974941,58996900
6/1/2010,53.119999,55.209999,50.209999,50.299999,34.109226,65259600
7/1/2010,50.209999,52.580002,47.279999,50.049999,33.939709,62214200
8/1/2010,50.470001,51.84,48.970001,49.68,33.688808,73767400
9/1/2010,50.200001,51.52,49.490002,50.509998,34.528599,39885700
10/1/2010,50.540001,51.099998,48.720001,50.259998,34.357708,58553500
11/1/2010,50.369999,50.799999,48.509998,49.23,33.653603,76136200
12/1/2010,49.52,51.619999,48.849998,51.080002,35.206425,51072600
1/1/2011,51.23,52.200001,50.029999,50.299999,34.668819,45941800
2/1/2011,50.32,54.790001,49.990002,53.560001,36.915749,59501500
3/1/2011,53.52,55.41,52.720001,53.98,37.49118,46309100
4/1/2011,53.98,57.419998,53.799999,57.27,39.776207,28555900
5/1/2011,57.189999,57.700001,55.860001,56.990002,39.58173,42271500
6/1/2011,56.75,56.82,53.450001,55.32,38.697872,45220600
7/1/2011,55.07,56.389999,54.349998,55.779999,39.019657,36217800
8/1/2011,56.16,56.16,50.380001,54.32,37.998348,64473700
9/1/2011,54.279999,54.939999,51.630001,53.189999,37.505661,41132200
10/1/2011,52.73,55.299999,51.939999,54.209999,38.22488,39023300
11/1/2011,53.599998,54.25,48.099998,49.16,34.663998,64961100
12/1/2011,49.029999,50.919998,48.470001,50.57,35.97641,35510700
1/1/2012,50.970001,51.849998,49.07,49.52,35.229408,40449000
2/1/2012,49.599998,53.450001,49.27,52.349998,37.242733,57833600
3/1/2012,52.450001,53.860001,51.639999,53.630001,38.466026,32443200
4/1/2012,53.439999,54.200001,50.049999,50.57,36.27124,44834200
5/1/2012,50.57,51.16,48.779999,48.779999,34.98737,41580900
6/1/2012,48.5,49.759998,47.880001,49.330002,35.685822,32166500
7/1/2012,49.16,49.889999,46.330002,47.700001,34.506672,43796300
